"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","562","should navigate to Products page on valid credentials","firefox","2026-08-19","passed","2026-08-19","Login test","login.spec.ts","",""
"","265","should display error message on missing username","chromium","2026-08-19","passed","2026-08-19","Login test","login.spec.ts","",""
"","1470","should add two products to cart and remove one","webkit","2026-08-19","passed","2026-08-19","Add to cart test","addToCart.spec.ts","",""
"","879","should handle missing product assets gracefully without breaking UI","webkit","2026-08-19","passed","2026-08-19","Products test","products.spec.ts","",""
"","1461","should remove product from cart","webkit","2026-08-19","passed","2026-08-19","Add to cart test","addToCart.spec.ts","",""
"","1586","should add product to cart","firefox","2026-08-19","passed","2026-08-19","Add to cart test","addToCart.spec.ts","",""
"","687","should add product to cart","chromium","2026-08-19","passed","2026-08-19","Add to cart test","addToCart.spec.ts","",""
"","752","should display error message on missing password","webkit","2026-08-19","passed","2026-08-19","Login test","login.spec.ts","",""
"","783","should show postal code error message","firefox","2026-08-19","passed","2026-08-19","Your Information Step","yourInformation.spec.ts","",""
"","620","should submit order correctly","chromium","2026-08-19","passed","2026-08-19","Submit order","submitOrder.spec.ts","",""
"","915","should process your information step correctly","firefox","2026-08-19","passed","2026-08-19","Your Information Step","yourInformation.spec.ts","",""
"","940","should remove product from cart","firefox","2026-08-19","passed","2026-08-19","Add to cart test","addToCart.spec.ts","",""
"","1155","should show postal code error message","webkit","2026-08-19","passed","2026-08-19","Your Information Step","yourInformation.spec.ts","",""
"","664","should add two products to cart and remove one","chromium","2026-08-19","passed","2026-08-19","Add to cart test","addToCart.spec.ts","",""
"","823","should show first name error message","firefox","2026-08-19","passed","2026-08-19","Your Information Step","yourInformation.spec.ts","",""
"","1186","should show last name error message","webkit","2026-08-19","passed","2026-08-19","Your Information Step","yourInformation.spec.ts","",""
"","516","should display error message on invalid credentials","firefox","2026-08-19","passed","2026-08-19","Login test","login.spec.ts","",""
"","489","should show postal code error message","chromium","2026-08-19","passed","2026-08-19","Your Information Step","yourInformation.spec.ts","",""
"","632","should handle missing product assets gracefully without breaking UI","firefox","2026-08-19","passed","2026-08-19","Products test","products.spec.ts","",""
"","459","should show first name error message","chromium","2026-08-19","passed","2026-08-19","Your Information Step","yourInformation.spec.ts","",""
"","1538","should submit order correctly","webkit","2026-08-19","passed","2026-08-19","Submit order","submitOrder.spec.ts","",""
"","670","should remove product from cart","chromium","2026-08-19","passed","2026-08-19","Add to cart test","addToCart.spec.ts","",""
"","346","should navigate to Products page on valid credentials","chromium","2026-08-19","passed","2026-08-19","Login test","login.spec.ts","",""
"","908","should show last name error message","firefox","2026-08-19","passed","2026-08-19","Your Information Step","yourInformation.spec.ts","",""
"","934","should add two products to cart and remove one","firefox","2026-08-19","passed","2026-08-19","Add to cart test","addToCart.spec.ts","",""
"","697","should display error message on missing username","webkit","2026-08-19","passed","2026-08-19","Login test","login.spec.ts","",""
"","498","should display error message on missing password","firefox","2026-08-19","passed","2026-08-19","Login test","login.spec.ts","",""
"","1185","should submit order correctly","firefox","2026-08-19","passed","2026-08-19","Submit order","submitOrder.spec.ts","",""
"","9375","should add product to cart","webkit","2026-08-19","passed","2026-08-19","Add to cart test","addToCart.spec.ts","",""
"","556","should process your information step correctly","chromium","2026-08-19","passed","2026-08-19","Your Information Step","yourInformation.spec.ts","",""
"","1150","should show first name error message","webkit","2026-08-19","passed","2026-08-19","Your Information Step","yourInformation.spec.ts","",""
"","868","should navigate to Products page on valid credentials","webkit","2026-08-19","passed","2026-08-19","Login test","login.spec.ts","",""
"","787","should display error message on invalid credentials","webkit","2026-08-19","passed","2026-08-19","Login test","login.spec.ts","",""
"","502","should show last name error message","chromium","2026-08-19","passed","2026-08-19","Your Information Step","yourInformation.spec.ts","",""
"","272","should display error message on missing password","chromium","2026-08-19","passed","2026-08-19","Login test","login.spec.ts","",""
"","485","should display error message on missing username","firefox","2026-08-19","passed","2026-08-19","Login test","login.spec.ts","",""
"","359","should handle missing product assets gracefully without breaking UI","chromium","2026-08-19","passed","2026-08-19","Products test","products.spec.ts","",""
"","274","should display error message on invalid credentials","chromium","2026-08-19","passed","2026-08-19","Login test","login.spec.ts","",""
"","1252","should process your information step correctly","webkit","2026-08-19","passed","2026-08-19","Your Information Step","yourInformation.spec.ts","",""
