"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","3","0","Successful processing information step","0"
"0","","0","","3","0","Handling missing product images without breaking UI","0"
"0","","0","","3","0","Showing error message for login with invalid credentials","0"
"0","","0","","3","0","Successful adding and removing product from cart","0"
"0","","0","","3","0","Showing error message for login with missing username","0"
"0","","0","","3","0","Successful submitting order","0"
"0","","0","","3","0","Showing error message for processing information step with missing last name","0"
"0","","0","","3","0","Showing error message for processing information step with missing first name","0"
"0","","0","","3","0","Showing error message for login with missing password","0"
"0","","0","","3","0","Successful removing product from cart","0"
"0","","0","","3","0","Successful login with valid credentials","0"
"0","","0","","3","0","Showing error message for processing information step with missing zip code","0"
"0","","0","","3","0","Successful adding product to cart","0"
