"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","745","should display error message on missing password","webkit","2026-08-17","passed","2026-08-17","Login test","login.spec.ts","",""
"","723","should handle missing product assets gracefully without breaking UI","firefox","2026-08-17","passed","2026-08-17","Products test","products.spec.ts","",""
"","942","should show first name error message","firefox","2026-08-17","passed","2026-08-17","Your Information Step","yourInformation.spec.ts","",""
"","609","should display error message on missing password","firefox","2026-08-17","passed","2026-08-17","Login test","login.spec.ts","",""
"","1096","should remove product from cart","firefox","2026-08-17","passed","2026-08-17","Add to cart test","addToCart.spec.ts","",""
"","1299","should submit order correctly","firefox","2026-08-17","passed","2026-08-17","Submit order","submitOrder.spec.ts","",""
"","1495","should add two products to cart and remove one","webkit","2026-08-17","passed","2026-08-17","Add to cart test","addToCart.spec.ts","",""
"","690","should navigate to Products page on valid credentials","firefox","2026-08-17","passed","2026-08-17","Login test","login.spec.ts","",""
"","921","should show postal code error message","firefox","2026-08-17","passed","2026-08-17","Your Information Step","yourInformation.spec.ts","",""
"","750","should display error message on missing username","webkit","2026-08-17","passed","2026-08-17","Login test","login.spec.ts","",""
"","374","should display error message on invalid credentials","chromium","2026-08-17","passed","2026-08-17","Login test","login.spec.ts","",""
"","357","should display error message on missing password","chromium","2026-08-17","passed","2026-08-17","Login test","login.spec.ts","",""
"","933","should add two products to cart and remove one","chromium","2026-08-17","passed","2026-08-17","Add to cart test","addToCart.spec.ts","",""
"","772","should remove product from cart","chromium","2026-08-17","passed","2026-08-17","Add to cart test","addToCart.spec.ts","",""
"","424","should handle missing product assets gracefully without breaking UI","chromium","2026-08-17","passed","2026-08-17","Products test","products.spec.ts","",""
"","951","should show last name error message","firefox","2026-08-17","passed","2026-08-17","Your Information Step","yourInformation.spec.ts","",""
"","1621","should add product to cart","firefox","2026-08-17","passed","2026-08-17","Add to cart test","addToCart.spec.ts","",""
"","873","should add product to cart","chromium","2026-08-17","passed","2026-08-17","Add to cart test","addToCart.spec.ts","",""
"","1244","should show postal code error message","webkit","2026-08-17","passed","2026-08-17","Your Information Step","yourInformation.spec.ts","",""
"","368","should display error message on missing username","chromium","2026-08-17","passed","2026-08-17","Login test","login.spec.ts","",""
"","1254","should show first name error message","webkit","2026-08-17","passed","2026-08-17","Your Information Step","yourInformation.spec.ts","",""
"","1235","should process your information step correctly","webkit","2026-08-17","passed","2026-08-17","Your Information Step","yourInformation.spec.ts","",""
"","1503","should add two products to cart and remove one","firefox","2026-08-17","passed","2026-08-17","Add to cart test","addToCart.spec.ts","",""
"","617","should display error message on invalid credentials","firefox","2026-08-17","passed","2026-08-17","Login test","login.spec.ts","",""
"","1202","should show last name error message","webkit","2026-08-17","passed","2026-08-17","Your Information Step","yourInformation.spec.ts","",""
"","562","should show first name error message","chromium","2026-08-17","passed","2026-08-17","Your Information Step","yourInformation.spec.ts","",""
"","941","should handle missing product assets gracefully without breaking UI","webkit","2026-08-17","passed","2026-08-17","Products test","products.spec.ts","",""
"","947","should navigate to Products page on valid credentials","webkit","2026-08-17","passed","2026-08-17","Login test","login.spec.ts","",""
"","1629","should submit order correctly","webkit","2026-08-17","passed","2026-08-17","Submit order","submitOrder.spec.ts","",""
"","552","should show last name error message","chromium","2026-08-17","passed","2026-08-17","Your Information Step","yourInformation.spec.ts","",""
"","2933","should add product to cart","webkit","2026-08-17","passed","2026-08-17","Add to cart test","addToCart.spec.ts","",""
"","821","should display error message on invalid credentials","webkit","2026-08-17","passed","2026-08-17","Login test","login.spec.ts","",""
"","726","should submit order correctly","chromium","2026-08-17","passed","2026-08-17","Submit order","submitOrder.spec.ts","",""
"","986","should show postal code error message","chromium","2026-08-17","passed","2026-08-17","Your Information Step","yourInformation.spec.ts","",""
"","450","should navigate to Products page on valid credentials","chromium","2026-08-17","passed","2026-08-17","Login test","login.spec.ts","",""
"","609","should display error message on missing username","firefox","2026-08-17","passed","2026-08-17","Login test","login.spec.ts","",""
"","588","should process your information step correctly","chromium","2026-08-17","passed","2026-08-17","Your Information Step","yourInformation.spec.ts","",""
"","959","should process your information step correctly","firefox","2026-08-17","passed","2026-08-17","Your Information Step","yourInformation.spec.ts","",""
"","1459","should remove product from cart","webkit","2026-08-17","passed","2026-08-17","Add to cart test","addToCart.spec.ts","",""
